Timestamp,Country,Where do you currently work?,What are your main professional responsibilities?,... that had a docker-compose.yml file?,... where you have used docker-compose.yml files created by others (colleagues or third parties)?,... where you created/updated a docker-compose.yml file?,"In the docker-compose.yml files I have developed, I have at some point specified ...","When I write a docker-compose.yml file, I spend considerable time… [reading Docker documentation.]","When I write a docker-compose.yml file, I spend considerable time… [finding out what are the keys that I need.]","When I write a docker-compose.yml file, I spend considerable time… [finding out what images are available.]","When I write a docker-compose.yml file, I spend considerable time… [trying to understand why the services are not working as intended.]","When I write a docker-compose.yml file, I spend considerable time… [(re)starting the services to confirm that they are working as intended.]","When I write a docker-compose.yml file, I spend considerable time… [configuring the properties of each service (e.g. port mapping, name, ...).]","When I write a docker-compose.yml file, I spend considerable time… [configuring the dependencies between the services (e.g. depends_on).]","When I write a docker-compose.yml file, I spend considerable time… [configuring volumes and how they are attached to the services.]","When I write a docker-compose.yml file, I spend considerable time… [configuring networks and how they are connected to the services.]","When I write a docker-compose.yml file, I spend considerable time… [configuring configs and how they are accessed by the services.]","When I write a docker-compose.yml file, I spend considerable time… [configuring secrets and how they are accessed by the services.]",What steps or strategies do you usually follow in order to diagnose and fix bugs in the creation of docker-compose.yml files?,Do you use any plugins/tools when developing docker-compose.yml files?,"If so, which ones and how do they help you?","When I read a docker-compose.yml file, I spend considerable time trying to understand … [ what the services are.]","When I read a docker-compose.yml file, I spend considerable time trying to understand … [the dependencies between services (e.g. depends_on).]","When I read a docker-compose.yml file, I spend considerable time trying to understand … [what volumes are used and how they are attached to the services.]","When I read a docker-compose.yml file, I spend considerable time trying to understand … [what networks are used and how they are connected to the services.]"
6/9/2020 12:28:17,Portugal,Academia,"Software Development, Scientific Research, Teaching",2,2,1,...secrets.,4,4,4,4,4,4,4,4,4,4,4,deploy-test-debug-correct-redeploy-...,No,,2,2,2,2
6/9/2020 15:16:20,The Netherlands,Industry,Coaching,6,6,6,"... volumes., ... networks., ...configs.",3,3,3,3,3,3,3,3,3,3,3,"Don't use docker-compose much, mostly k8s",No,,3,3,3,3
6/10/2020 14:53:34,Chile,"Industry, Academia","Software Development, Scientific Research",3,0,3,... networks.,4,4,3,4,4,4,4,4,4,4,4,Manual check,No,,2,2,2,2
6/11/2020 14:51:57,USA,Industry,"Software Development, Coaching",1,1,1,"... volumes., ... networks., ...configs.",5,3,2,4,5,2,2,2,2,1,1,same as above,No,,2,2,4,3
6/15/2020 18:12:12,India,Industry,"Software Development, Operations",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",3,3,3,3,3,3,3,3,3,3,3,no comments,No,,3,3,3,3
6/15/2020 18:28:30,Brazil,Industry,"Software Development, Operations",4,4,4,... volumes.,3,2,2,2,3,3,1,1,1,1,1,,No,,3,3,3,3
6/15/2020 18:53:29,Denmark,Academia,"Scientific Research, Teaching",3,3,3,"... volumes., ... networks.",2,2,2,3,3,3,3,2,2,2,2,Read logs,No,,2,2,2,2
6/15/2020 19:04:50,Portugal,Industry,Operations,3,3,3,"... volumes., ... networks., ...configs., ...secrets.",4,4,4,4,4,4,3,3,4,4,4,"Check logs, jump into the container",No,,4,3,3,3
6/15/2020 19:07:36,Portugal,Industry,Software Development,2,2,2,"...configs., ...secrets.",2,3,3,3,5,3,4,4,3,4,4,Start a new shell on the container cluster,No,,3,4,4,3
6/15/2020 19:12:01,Germany,Academia,Scientific Research,5,5,4,"... volumes., ... networks.",3,4,2,4,3,4,3,4,4,3,3,,No,,3,3,4,4
6/15/2020 19:38:54,Portugal,Industry,Operations,1,2,1,...configs.,4,4,4,4,3,3,4,4,4,4,4,,No,,4,3,4,4
6/15/2020 20:19:02,United Kingdom,Industry,"Software Development, Coaching",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",4,4,2,2,2,2,2,2,5,3,2,Same as for docker files,Yes,Vscode: no reason just yaml syntax auto indent,1,3,2,2
6/15/2020 20:40:49,Portugal,Industry,Operations,5,5,5,"... volumes., ... networks., ...configs.",4,3,2,3,1,3,2,4,2,3,3,Stackoverflow :),No,,2,1,2,3
6/15/2020 20:51:59,Portugal,Industry,"Software Development, Operations, DevOps",3,3,3,"... volumes., ... networks., ...configs.",4,4,3,3,3,4,2,4,2,3,1,Launching the containers individually at first,Yes,VSCode syntax highlighting,2,2,2,2
6/15/2020 21:10:04,USA,Industry,Software Development,5,5,5,"... volumes., ... networks.",3,4,3,5,5,5,5,5,5,3,3,Reading the error messages and googling them,No,,5,5,3,3
6/15/2020 21:18:13,USA,Online Retail,"Software Development, Operations, Coaching",0.2,0,0.2,"... volumes., ... networks.",5,3,4,5,2,3,1,2,4,1,1,Trial by fire right now. :(,No,,4,5,2,2
6/15/2020 21:30:09,Italy,Industry,Software Development,4,3,4,"... volumes., ... networks.",3,3,4,3,5,5,5,5,5,3,3,,No,,5,5,5,5
6/15/2020 23:23:36,Morocco,IT company,"Software Development, Operations",3,4,3,"... volumes., ... networks., ...configs., ...secrets.",3,4,4,4,3,2,3,3,3,3,3,,No,,2,3,3,2
6/15/2020 23:59:27,Israel,Industry,"Software Development, Operations, Coaching",0.5,0,0.5,...configs.,5,5,3,2,3,4,5,3,3,4,4,Rerrun the system,No,,3,3,4,3
6/16/2020 0:39:31,USA,Industry,"Software Development, Operations",4,4,4,"... volumes., ... networks.",3,1,1,1,3,3,2,3,1,1,1,install a yaml linter,No,,1,1,1,1
6/16/2020 0:45:07,Canada,Industry,"Software Development, Coaching",3,3,3,"... volumes., ... networks., ...configs.",4,4,4,5,5,4,4,4,3,3,3,Same as with Dockerfile; build run repeat until it all functions as expected.,Yes,"IntelliJIdea Docker / Docker Compose support (PHPStorm, RubyMine)",2,3,2,2
6/16/2020 6:25:58,Denmark,Academia,"Software Development, Scientific Research, Teaching",2,2,2,"... volumes., ... networks., ...configs.",3,4,5,4,4,3,3,4,4,4,1,Logging,No,,4,4,5,4
6/16/2020 7:07:41,Spain,Industry,"Software Development, Operations, Product Management",5,5,5,"... volumes., ... networks., ...configs., ...secrets.",2,3,5,5,2,4,3,4,4,4,4,"Making test end-2-end. If the output is not correct with a determined input, something was wrong. Of course, reading logs.",No,,4,5,4,4
6/16/2020 8:11:44,Germany,Industry,Operations,6,6,6,"... volumes., ... networks.",4,4,4,2,2,3,4,5,2,3,3,-,No,-,2,2,4,3
6/16/2020 9:10:47,Denmark,Industry,"Software Development, Operations, Quality Assurance",3,3,3,"... volumes., ... networks., ...configs.",4,3,4,5,5,4,3,5,4,4,3,"same as previous answer, check logs and general linux commands to debug it.",No,,4,4,4,4
6/16/2020 10:16:50,Italy,"Industry, Academia","Software Development, Product Management, Scientific Research",0.5,1,1,... networks.,3,3,3,3,3,3,3,3,3,3,3,,No,,4,4,4,4
6/16/2020 12:40:10,Germany,Academia,"Software Development, Scientific Research, Teaching",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",3,3,3,4,4,3,3,3,3,4,4,read logs,Yes,IntelliJ editor plugin,3,3,3,3
6/16/2020 14:12:11,Portugal,Industry,Software Development,3,3,3,... volumes.,3,3,3,3,3,3,3,3,3,3,3,research common solutions to common problems,No,,2,2,4,4
6/16/2020 14:29:11,Portugal,Industry,Software Development,2,2,2,"... volumes., ...configs., ...secrets.",3,3,3,4,4,3,4,3,3,4,4,,No,,3,3,4,4
6/16/2020 19:20:14,Serbia,Industry,Software Development,1,1,1,"... volumes., ... networks., ...configs., ...secrets.",2,4,5,2,4,4,5,4,2,2,2,watching logs for errors => searching for solution,No,/,5,4,2,4
6/16/2020 23:58:11,USA,Industry,"Software Development, Operations",2,2,1,"... volumes., ... networks., ...configs.",2,3,3,3,3,4,4,4,3,4,5,"test in isolation, then test dependencies",Yes,VS code,3,3,3,3
6/17/2020 5:06:41,Brazil,Industry,"Software Development, Scientific Research",3,1,3,"... volumes., ... networks., ...configs.",3,3,2,3,3,3,4,3,3,3,3,Read documentation and verify identation,No,,3,4,3,3
6/17/2020 8:50:53,Palestine,Industry,Software Development,3,4,3,... volumes.,3,3,3,3,3,3,3,3,3,3,3,,No,,3,3,4,4
6/17/2020 10:06:41,Portugal,Industry,Software Development,5,5,5,"... volumes., ... networks., ...configs., ...secrets.",2,2,4,3,4,4,3,3,3,3,3,,No,,4,2,4,3
6/17/2020 10:09:59,United Kingdom,Industry,"Software Development, Operations",3,4,4,"... volumes., ... networks., ...configs., ...secrets.",3,4,4,3,4,3,2,4,2,2,3,,Yes,Plugins for pycharm/jetbrains to format and lint files.,3,3,5,4
6/17/2020 11:47:56,Portugal,Industry,"Software Development, Operations",4,4,4,"... volumes., ... networks., ...configs.",3,3,4,4,4,3,3,3,3,5,3,"Start with a basic setup and incrementally add functionality: run with docker images defaults, add volume bind mount to external config, etc.",No,,3,3,5,3
6/17/2020 15:11:02,Canada,Industry,"Software Development, Operations",6,5,6,"... volumes., ...configs.",4,3,2,1,1,2,1,1,1,3,2,Thinking,No,Text editor y/ syntax highlight,1,1,1,1
6/17/2020 15:51:48,The Netherlands,Industry,"Software Development, Operations, Quality Assurance",2,1,2,"... volumes., ... networks., ...configs., ...secrets.",4,5,4,4,4,3,2,3,2,2,2,,No,,2,2,2,2
6/17/2020 17:39:36,Germany,Industry,"Software Development, Operations",2,2,2,"... volumes., ... networks.",3,3,2,4,4,4,1,2,2,2,2,Exec into containers.,No,,4,1,3,4
6/17/2020 18:59:39,Switzerland,Industry,"Software Development, Operations, Quality Assurance",5,5,5,"... volumes., ... networks., ...secrets.",3,3,3,2,2,4,2,4,4,3,2,Read the errors,No,,2,2,4,4
6/17/2020 21:11:35,USA,Industry,"Software Development, Operations",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",3,4,2,3,2,3,2,2,2,1,1,"Just read the console output, consult documentation fix. Never had any problems here.",No,,1,1,1,1
6/17/2020 21:28:49,USA,Industry,"Software Development, Product Management",5,5,5,... volumes.,2,2,4,5,4,5,5,5,4,3,3,"Nothing very refined. Similar to above, sometimes docker attach and read logs",No,,2,4,2,2
6/17/2020 21:36:29,Portugal,Industry,Software Development,1,1,1,"... volumes., ... networks.",4,4,5,5,5,5,5,5,5,5,5,Read logs: docker logs,No,,4,4,4,4
6/17/2020 22:30:53,Switzerland,Industry,"Software Development, Coaching",7,7,7,"... volumes., ... networks., ...configs., ...secrets.",3,3,1,3,3,2,2,3,3,3,3,Read the console output,No,,1,1,2,3
6/18/2020 0:23:10,United Kingdom,Industry,"Software Development, Operations, Quality Assurance",4,4,4,"... volumes., ... networks.",2,3,3,3,3,4,4,4,4,3,3,,No,,4,4,4,3
6/18/2020 1:36:37,USA,Industry,Software Development,3,3,2,"... volumes., ... networks., ...configs., ...secrets.",4,2,1,3,3,3,2,4,2,3,4,Netshoot for debugging; Docker exec into running container to evaluate issues; Docker service logs to tail running processes,Yes,"Syntax highlighting, linting, auto complete (all in VSCode)",1,1,2,2
6/18/2020 6:06:39,Australia,Industry,"Software Development, Operations",5,5,5,"... volumes., ... networks., ...configs.",4,4,3,4,4,3,2,4,2,3,2,,No,,3,3,3,3
6/18/2020 9:34:15,France,Industry,"Software Development, Operations",6,6,6,"... volumes., ... networks., ...secrets.",2,2,2,3,1,1,1,2,2,1,3,Generally bugs come from configuring 3rd party services and finding the right set of env vars/config for these services. So I generally need to read (sometimes extensively) their docs.,No,,1,2,2,1
6/18/2020 9:48:28,United Arab Emirates,Industry,Modern Applications infrastructure Architect,2,2,2,"... volumes., ... networks., ...configs., ...secrets.",3,3,3,2,2,3,3,3,3,3,3,same as above,Yes,visual studio + docker,2,4,3,3
6/18/2020 11:13:32,Portugal,Industry,Operations,1,1,1,"... volumes., ... networks., ...configs., ...secrets.",3,4,3,3,5,5,3,5,3,4,2,,No,,3,3,4,4
6/18/2020 18:02:34,USA,Industry,"Software Development, Operations",2,2,2,"... volumes., ... networks., ...configs.",2,1,2,5,2,2,1,1,2,2,1,,No,,5,3,1,3
6/18/2020 19:57:01,Portugal,Academia,Software Development,4,4,3,"... volumes., ... networks., ...configs., ...secrets.",4,4,5,4,3,1,2,2,2,3,3,,No,,3,4,3,3
6/18/2020 22:50:42,Portugal,Industry,"Software Development, Operations, Coaching",3,3,3,"... volumes., ... networks., ...configs.",3,2,2,3,2,3,3,3,3,3,1,The same I do for Dockerfiles.,Yes,Makefile,1,1,2,3
6/19/2020 1:44:34,Portugal,"Industry, Academia","Software Development, Masters",1,0,1,"... volumes., ... networks.",4,4,4,4,4,4,4,4,4,1,1,,No,,3,4,4,4
6/19/2020 7:45:39,Portugal,Industry,"Software Development, Operations",3,3,3,"... volumes., ... networks., ...configs.",3,2,2,2,2,3,2,2,2,2,3,,No,,2,2,2,2
6/19/2020 13:55:04,Germany,Industry,Software Development,4,4,4,"... volumes., ... networks., ...configs.",4,4,4,2,3,4,3,4,3,3,1,"Peer review and searching the internet, especially stack overflow, for prior knowledge",No,,3,2,4,4
6/19/2020 14:10:46,Germany,Industry,"Software Development, Operations, Quality Assurance",3,3,3,"... volumes., ... networks., ...configs., ...secrets.",3,3,2,2,2,4,4,4,3,3,4,Manually start the build process,No,,2,2,2,2
6/19/2020 14:23:06,Serbia,Industry,"Software Development, Operations",2,0,2,"... volumes., ...configs.",4,5,2,5,5,3,5,5,4,5,4,Open bash or sh in the container and try directly in the container(s) to find bugs,No,,1,1,5,5
6/19/2020 14:27:07,Portugal,Industry,Operations,5,5,5,"... volumes., ... networks., ...configs., ...secrets.",3,2,4,4,2,3,5,4,4,4,4,modular approach service by service,Yes,Visual Studio Code plugins,3,4,4,4
6/19/2020 14:43:57,Unknown,Industry,Software Development,1,1,1,"... volumes., ... networks., ...configs.",5,2,3,2,2,4,2,3,3,3,2,...,No,,2,2,2,3
6/19/2020 17:34:12,United Kingdom,Industry,Software Development,2,2,1,"... volumes., ... networks., ...configs.",5,5,1,5,5,5,5,5,5,5,2,grep logs,No,,4,4,3,2
6/19/2020 18:36:45,Brazil,Industry,Software Development,5,5,3,"... volumes., ... networks., ...configs.",4,4,3,4,4,3,3,3,2,2,1,log,No,,3,3,4,1
6/20/2020 7:44:19,India,Industry,Operations,1.5,1,1,"... volumes., ... networks., ...configs.",2,3,2,4,2,3,4,3,3,5,5,docker logs and docker network troubshooting,No,,3,4,4,3
6/20/2020 8:50:01,Australia,Industry,Software Development,4,4,2,"... volumes., ... networks., ...configs., ...secrets.",4,5,4,5,5,5,5,5,5,5,5,More googling,No,,3,3,5,5
6/20/2020 16:58:29,United Kingdom,Industry,"Software Development, Operations, Coaching",4,4,4,"... volumes., ... networks., ...secrets.",4,3,4,4,4,4,4,4,4,3,3,,No,,5,5,4,4
6/21/2020 9:05:06,Portugal,Industry,Operations,1,1,1,"... volumes., ... networks.",5,5,4,4,2,2,2,4,2,3,3,,Yes,"Portainer is a graphical tool that helps creating containers, services and stacks",4,2,4,2
6/21/2020 19:32:07,Canada,Industry,"Software Development, Operations",2,0,2,"... volumes., ... networks., ...configs., ...secrets.",1,1,1,3,3,5,1,1,1,1,1,Compare my running Local docker compose to what I expect in other environments,No,,1,3,3,3
6/22/2020 14:31:52,USA,Industry,"Software Development, Operations",3,3,3,"... volumes., ... networks., ...configs.",4,4,2,2,4,4,5,5,4,4,3,,No,,2,2,2,2
6/22/2020 14:48:25,USA,Industry,"Software Development, Operations, Quality Assurance",4,1,4,"... volumes., ... networks., ...configs., ...secrets.",3,3,3,3,4,4,3,4,4,3,3,They aren't much trouble.,No,,3,4,4,4
6/22/2020 15:17:44,Canada,Industry,"Software Development, Quality Assurance, Coaching",5,5,5,... volumes.,4,4,5,5,3,4,4,5,3,3,3,Trial and errors,No,,2,2,2,4
6/23/2020 6:56:17,Canada,Industry,Software Development,2,1,1,"... volumes., ... networks., ...configs.",3,3,4,5,5,4,4,5,4,4,3,,No,,5,5,3,3
6/23/2020 14:52:20,USA,Industry,"Software Development, Operations",1,1,1,"... networks., ...configs.",4,4,4,4,4,4,4,4,4,4,4,Inspecting STDOUT,No,,5,5,5,5
6/23/2020 14:55:35,Colombia,Industry,Operations,2,1,1,"... volumes., ... networks., ...configs., ...secrets.",4,4,4,5,5,5,5,2,2,3,3,restarting services,No,,5,4,4,4
6/23/2020 16:14:57,United Kingdom,Industry,"Software Development, Operations",3,3,3,"... volumes., ... networks., ...configs.",4,5,5,4,5,4,4,4,4,4,4,Write tests and scripts to confirm behaviour and services are as expected,Yes,VSCode extensions,4,5,4,4
6/23/2020 17:31:48,The Netherlands,Industry,Software Development,1,1,1,"... volumes., ... networks.",5,5,3,5,3,3,3,3,4,3,3,not use docker compose,No,,3,3,3,3
6/23/2020 18:58:00,Canada,Industry,Software Development,2,2,2,"... volumes., ... networks., ...configs.",4,3,3,3,4,5,3,3,3,3,3,reading any stdout/stderr from the container and googling,No,,3,4,4,4
6/24/2020 12:04:03,United Kingdom,Academia,"Software Development, Scientific Research",1,0,1,,3,3,3,3,3,3,3,3,3,3,3,,No,,3,3,3,3
6/24/2020 12:31:16,India,Academia,Software Development,2,2,2,"... volumes., ... networks.",5,5,4,3,3,4,4,5,5,3,3,"Network and volume mount issues are the most frequent for me, why a volume isnt mounting, why is the other serving not connecting, why the volume isnt updating. I try different volume names, different network names, adding/removing leading slashes in volume names, pinging services from container shell.",Yes,VSCode Docker-Compose,3,4,5,5
6/24/2020 15:05:48,USA,Industry,Software Development,3,3,1,"... volumes., ... networks.",5,4,4,4,3,4,4,3,4,3,3,,No,,3,4,4,4
6/24/2020 16:34:49,USA,Industry,"Software Development, Coaching",3,3,3,... volumes.,3,3,3,3,3,4,2,3,2,3,3,"Try to keep them super simple
Try not to use too many volume mounts",Yes,Visual Studio Code for editing and command line to execute,2,2,3,2
6/24/2020 18:26:46,Portugal,Industry,Software Development,4,4,4,"... volumes., ... networks., ...configs., ...secrets.",2,2,4,2,2,2,2,2,4,2,3,,No,,4,2,2,4
6/25/2020 0:24:57,USA,Industry,Software Development,3,3,0,"... networks., ...configs.",5,5,4,5,5,5,3,3,4,3,3,,No,,4,4,3,5
6/25/2020 8:30:09,Spain,Industry,"Software Development, Operations",6,6,6,"... volumes., ... networks.",3,2,2,3,4,4,4,3,3,3,3,check the logs and use tcpdump to see if the containers can talk to each other.,No,,2,3,2,2
6/25/2020 8:34:10,Spain,Industry,Software Development,1,1,1,,3,4,2,3,4,2,4,4,2,3,1,,No,,3,3,3,3
6/25/2020 8:51:37,Spain,Industry,"Software Development, Operations",6,6,6,"... volumes., ... networks., ...configs., ...secrets.",3,4,5,5,5,4,5,4,3,4,4,"Review Logs
Check depends_on
Check that all services are running
Restart services",No,,3,4,3,3
6/25/2020 9:30:08,Spain,Industry,Software Development,4,4,4,"... volumes., ... networks.",3,1,1,4,2,4,1,2,2,1,1,Same as in Dockerfiles.,No,,5,2,4,2
6/25/2020 10:10:01,Spain,Industry,"Software Development, Operations",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",2,2,2,3,4,3,2,2,2,2,2,"check logs, check process status",No,,1,1,1,1
6/25/2020 11:17:27,Spain,Industry,Software Development,1,0,1,"... volumes., ... networks.",5,4,1,4,5,5,3,4,4,3,3,,No,,5,5,5,5
6/25/2020 12:15:45,Spain,Industry,"Software Development, Operations",5,5,5,"... volumes., ... networks., ...configs., ...secrets.",2,1,2,1,1,2,1,1,1,1,2,keep it simple,No,,1,1,1,1
6/25/2020 13:24:11,Spain,Industry,Software Development,1,1,1,"... volumes., ... networks., ...configs.",3,2,2,4,4,2,2,2,2,2,4,ssh into the containers,Yes,,3,3,3,3
6/25/2020 19:13:29,Spain,Industry,Software Development,2,2,1,"... volumes., ... networks.",1,1,2,1,2,4,4,4,2,2,2,,No,,4,4,3,2
6/25/2020 22:22:28,USA,Industry,Software Development,1,1,0,"... volumes., ... networks., ...configs., ...secrets.",4,4,3,4,3,3,3,3,4,3,3,,No,,4,3,4,4
6/26/2020 9:46:44,Denmark,Industry,"Software Development, Operations",4,3,4,... volumes.,2,3,5,4,3,4,3,5,3,3,3,Logging output,No,,3,3,4,3
6/26/2020 23:03:32,Chile,Industry,"Software Development, Teaching",2,2,2,"... volumes., ...configs., ...secrets.",5,5,2,4,5,3,5,3,5,4,3,,No,,2,2,2,3
6/27/2020 16:45:53,USA,Academia,Scientific Research,1,1,1,"... volumes., ... networks.",4,4,4,4,4,5,5,5,5,5,5,,No,,4,4,4,4
6/28/2020 21:08:56,Spain,Industry,"Software Development, Scientific Research",0.5,0,0.5,... volumes.,3,3,3,3,3,3,3,3,3,3,3,,No,,3,4,3,3
6/29/2020 9:36:00,France,Industry,Software Development,4,4,4,"... volumes., ... networks., ...configs., ...secrets.",4,4,3,3,4,4,4,3,5,2,2,logs,No,,3,4,2,4
6/29/2020 9:36:02,France,Industry,"Software Development, Operations, Scientific Research",1,1,1,"... volumes., ... networks.",5,4,1,4,5,4,1,3,4,3,3,Write reduced test cases and read source code because the documentation is unclear,Yes,Pycharm,1,1,4,4
6/29/2020 10:41:42,South Africa,Industry,Software Development,2,2,2,"... volumes., ... networks., ...configs., ...secrets.",3,4,3,4,3,4,4,3,4,4,3,,No,,3,3,3,3
6/29/2020 12:26:06,South Africa,Industry,"Software Development, Operations",1.5,1.5,1.5,"... volumes., ... networks.",3,3,3,2,1,1,1,1,1,1,1,General shell and container debugging techniques,No,,1,1,1,1
6/29/2020 14:02:46,France,Industry,Software Development,2,2,2,"... volumes., ... networks., ...configs.",5,5,3,5,4,4,5,4,5,4,3,"Run, get connection error, travel the 7 seas to find which documentation about ""networking in docker"" is appliable to my case, until somehow it works, until somehow it works. Eventually check if the network is correctly secured (no open database) and accessible (through the browser for public services).",No,,3,5,3,5
6/29/2020 18:59:23,South Africa,Industry,"Software Development, Operations, Quality Assurance",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",2,2,2,2,2,2,2,2,2,2,2,"Docker logs, execute interactive mode, .dockerignore",No,,2,2,2,2
6/30/2020 8:38:51,Spain,Industry,Software Development,5,5,5,"... volumes., ... networks., ...configs.",4,3,2,4,2,2,3,3,4,3,2,"Find the root cause of it looking at logs, then test if I have an idea of how to fix it or try to find answers when I have no idea about the problem.",No,,3,1,2,2
7/2/2020 15:01:41,Mexico,Industry,Software Development,3,0,3,"... networks., ...configs.",2,2,4,4,3,4,1,1,1,3,3,standard output,Yes,VSCode,1,1,3,3
7/9/2020 10:33:12,Singapore,Industry,Operations,1,1,1,"... volumes., ... networks., ...configs., ...secrets.",5,2,2,4,5,2,3,3,3,3,3,Follow build/test/application errors,No,,2,2,4,4
7/9/2020 13:36:46,USA,Industry,"Software Development, Operations, Coaching",5,0,5,"... volumes., ... networks., ...configs.",2,2,2,3,3,3,3,3,4,3,3,"docker-compse ps, netstat, exec-ing into the containers, attempting pings if networking issues. verify volume mounts work by making changes outside the container, if not a web server.",No,,4,4,4,4
7/9/2020 18:12:40,USA,Industry,Software Development,3,3,3,"... volumes., ... networks.",3,4,2,5,4,3,3,3,3,2,2,`docker cp` binaries into running composed-containers followed by `docker restart` of just the containers I need to restart. Once everything's working then go back and restart the whole compose,Yes,IntelliJ IDEA has syntax highlighting for yaml,4,5,3,3